trade_date,signal_datetime_et,family,futures_root,available_report_date,as_of_date,official_release_datetime_et,cftc_contract_market_code,leveraged_money_net_pct_oi,leveraged_money_crowding_percentile,crowding_observation_count,crowding_eligible,quality_status
2011-02-10,2011-02-10T13:00:00,NASDAQ100,NQ,2011-02-01,2011-02-01,2011-02-04T15:30:00-05:00,209742,0.24217854217854218,,29,False,INSUFFICIENT_104_WEEK_HISTORY
2011-02-10,2011-02-10T13:00:00,RUSSELL2000,RTY,2011-02-01,2011-02-01,2011-02-04T15:30:00-05:00,23977A,-0.16624195658717883,,29,False,INSUFFICIENT_104_WEEK_HISTORY
2011-02-11,2011-02-11T13:00:00,SP500,ES,2011-02-01,2011-02-01,2011-02-04T15:30:00-05:00,13874A,-0.10705858934573316,,29,False,INSUFFICIENT_104_WEEK_HISTORY
2011-02-11,2011-02-11T13:00:00,NASDAQ100,NQ,2011-02-01,2011-02-01,2011-02-04T15:30:00-05:00,209742,0.24217854217854218,,29,False,INSUFFICIENT_104_WEEK_HISTORY
2011-02-11,2011-02-11T13:00:00,RUSSELL2000,RTY,2011-02-01,2011-02-01,2011-02-04T15:30:00-05:00,23977A,-0.16624195658717883,,29,False,INSUFFICIENT_104_WEEK_HISTORY
2011-02-12,2011-02-12T13:00:00,SP500,ES,2011-02-08,2011-02-08,2011-02-11T15:30:00-05:00,13874A,-0.12484216677059794,,30,False,INSUFFICIENT_104_WEEK_HISTORY
2011-02-12,2011-02-12T13:00:00,NASDAQ100,NQ,2011-02-08,2011-02-08,2011-02-11T15:30:00-05:00,209742,0.14512154075223485,,30,False,INSUFFICIENT_104_WEEK_HISTORY
2011-02-12,2011-02-12T13:00:00,RUSSELL2000,RTY,2011-02-08,2011-02-08,2011-02-11T15:30:00-05:00,23977A,-0.17699024263672075,,30,False,INSUFFICIENT_104_WEEK_HISTORY
2011-02-13,2011-02-13T13:00:00,SP500,ES,2011-02-08,2011-02-08,2011-02-11T15:30:00-05:00,13874A,-0.12484216677059794,,30,False,INSUFFICIENT_104_WEEK_HISTORY
2011-02-13,2011-02-13T13:00:00,NASDAQ100,NQ,2011-02-08,2011-02-08,2011-02-11T15:30:00-05:00,209742,0.14512154075223485,,30,False,INSUFFICIENT_104_WEEK_HISTORY
